SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR19-01656826,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/7/19 15:53,2/14/20 0:40,6/7/19 15:56,2950 W 59TH ST,,,60629,2950,W,59TH,ST,FALSE,FALSE,,,63,16,,I035,2,8,824,32,,15,6,6,1157490.442,1865435.279,41.78651913,-87.69810726,"(41.786519133626705, -87.698107262795)"
SR19-01669490,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/10/19 10:27,2/14/20 0:43,6/28/19 15:22,7010 S PULASKI RD,,,60629,7010,S,PULASKI,RD,FALSE,FALSE,,,65,13,,F038,3,8,833,46,,10,2,6,1150621.155,1857651.439,41.76529553,-87.72349631,"(41.76529553398941, -87.72349630700357)"
SR19-01669708,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/10/19 10:41,2/14/20 0:43,6/28/19 15:21,251 E HURON ST,,,60611,251,E,HURON,ST,FALSE,FALSE,,,8,42,,Q021,3,18,1834,35,,10,2,6,1178218.542,1904977.377,41.89458017,-87.62090496,"(41.89458016962321, -87.62090496283544)"
SR19-01670115,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,6/10/19 11:12,2/14/20 0:43,7/2/19 11:53,1130 W MONROE ST,,,60607,1130,W,MONROE,ST,FALSE,FALSE,,,28,25,,N023,3,12,1232,31,,11,2,6,1168709.215,1899809.285,41.88060992,-87.65597953,"(41.88060992270709, -87.6559795344542)"
SR19-01690687,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,6/12/19 13:23,2/14/20 0:48,6/20/19 15:46,4300 S MICHIGAN AVE,,,60653,4300,S,MICHIGAN,AVE,FALSE,FALSE,,,38,3,,Q032,1,2,215,15,,13,4,6,1177864.294,1876504.471,41.81645668,-87.62307101,"(41.8164566835759, -87.6230710106282)"
SR19-01707491,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,6/14/19 12:29,2/14/20 0:52,7/30/19 11:44,10000 W OHARE AIRPORT,,,60666,10000,W,OHARE AIRPORT,,TRUE,FALSE,,SR19-01660352,76,41,,,5,16,1654,27,,12,6,6,1101468.13,1935483.632,41.97969708,-87.90223078,"(41.97969708053543, -87.90223078102574)"
SR19-01707519,Restaurant Complaint,HFB,Health,Health,Completed,City Department,6/14/19 12:31,2/14/20 0:52,6/20/19 15:10,1962 N HALSTED ST,,,60614,1962,N,HALSTED,ST,FALSE,FALSE,,,7,43,,N018,1,18,1813,5,,12,6,6,1170561.54,1913368.536,41.91777702,-87.64878074,"(41.91777701745679, -87.64878073453838)"
SR19-01709786,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,6/14/19 15:36,2/14/20 0:52,6/20/19 15:04,5700 S CICERO AVE,,,60638,5700,S,CICERO,AVE,FALSE,FALSE,,,56,23,,E035,1,8,813,8,,15,6,6,1145548.639,1865846.617,41.78788168,-87.74188234,"(41.78788167660499, -87.74188234448185)"
SR19-01709985,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/14/19 15:54,2/14/20 0:52,6/20/19 15:46,4300 S MICHIGAN AVE,,,60653,4300,S,MICHIGAN,AVE,TRUE,FALSE,,SR19-01690687,38,3,,Q032,1,2,215,15,,15,6,6,1177864.294,1876504.471,41.81645668,-87.62307101,"(41.8164566835759, -87.6230710106282)"
SR19-01740647,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,6/19/19 9:04,2/14/20 0:59,6/20/19 10:25,23 W HUBBARD ST,,,60654,23,W,HUBBARD,ST,FALSE,FALSE,,,8,42,,P021,3,18,1831,25,,9,4,6,1176036.286,1903224.654,41.88982005,-87.62897251,"(41.889820047763756, -87.6289725077305)"
SR19-01742195,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,6/19/19 10:57,2/14/20 0:59,6/20/19 10:25,204 N WELLS ST,,,60606,204,N,WELLS,ST,FALSE,FALSE,,,32,42,,P022,2,1,122,9,,10,4,6,1174685.252,1901787.961,41.88590801,-87.63397705,"(41.885908006070515, -87.63397704667238)"
SR19-01753555,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,6/20/19 12:35,7/5/19 16:00,7/5/19 16:00,6000 W HIGGINS AVE,,,60630,6000,W,HIGGINS,AVE,FALSE,FALSE,,,11,45,,A010,2,16,1622,22,,12,5,6,1135179.259,1933341.286,41.97328578,-87.77830298,"(41.97328577490386, -87.77830297571823)"
SR19-01753597,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,6/20/19 12:39,8/16/19 15:33,8/16/19 15:33,4771 N LINCOLN AVE,,,60625,4771,N,LINCOLN,AVE,FALSE,FALSE,,,4,47,,K011,1,19,1911,20,,12,5,6,1159696.525,1931768.544,41.96849882,-87.6881904,"(41.9684988200204, -87.68819039759684)"
SR19-01764869,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/21/19 15:10,6/21/19 15:12,6/21/19 15:12,1918 E 71ST ST,,,60649,1918,E,71ST,ST,FALSE,FALSE,,,43,5,,U038,3,3,332,28,,15,6,6,1190306.923,1858366.958,41.7663948,-87.57801384,"(41.766394795710745, -87.57801383579815)"
SR19-01765152,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,6/21/19 15:34,6/21/19 15:52,6/21/19 15:52,5506 S LAKE PARK AVE,,,60637,5506,S,LAKE PARK,AVE,FALSE,FALSE,,,41,5,,T035,3,2,235,8,,15,6,6,1187592.887,1868743.802,41.79493467,-87.58763179,"(41.79493466787508, -87.58763179424557)"
SR19-01782846,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Mail,6/24/19 15:44,8/16/19 15:35,8/16/19 15:35,3004 E 100TH ST,,,60617,3004,E,100TH,ST,FALSE,FALSE,,,51,10,,W046,3,4,431,7,,15,2,6,1197982.598,1839208.664,41.71363456,-87.55051901,"(41.7136345622922, -87.55051901426398)"
SR19-01798377,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/26/19 10:31,6/26/19 10:33,6/26/19 10:33,888 S MICHIGAN AVE,,,60605,888,S,MICHIGAN,AVE,FALSE,FALSE,,,32,4,,Q024,2,1,123,25,,10,4,6,1177256.81,1896283.534,41.87074565,-87.62470074,"(41.87074564788038, -87.62470073769978)"
SR19-01801787,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,6/26/19 15:01,7/11/19 9:26,7/11/19 9:26,3477 N BROADWAY,,,60657,3477,N,BROADWAY,,FALSE,FALSE,,,6,46,,O014,2,19,1925,31,,15,4,6,1171241.787,1923405.592,41.94530421,-87.64598586,"(41.94530421082315, -87.6459858633412)"
SR19-01805951,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,6/27/19 8:22,8/16/19 14:37,8/16/19 14:37,500 N WELLS ST,,,60654,500,N,WELLS,ST,FALSE,FALSE,,,8,42,,P021,3,18,1831,14,,8,5,6,1174579.257,1903629.806,41.8909645,-87.63431118,"(41.890964502623135, -87.63431118103031)"
SR19-01807477,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,6/27/19 10:22,8/9/19 9:57,8/9/19 9:57,7171 W GRAND AVE,,,60707,7171,W,GRAND,AVE,FALSE,FALSE,,,18,29,,Y117,1,25,2512,38,,10,5,6,1127717.339,1915322.64,41.92396989,-87.80615029,"(41.92396988633328, -87.80615028751595)"
SR19-01854708,Restaurant Complaint,HFB,Health,Health,Completed,Internet,7/3/19 13:27,7/3/19 14:18,7/3/19 14:18,7535 S ASHLAND AVE,,,60620,7535,S,ASHLAND,AVE,FALSE,FALSE,,,71,17,,M040,1,6,612,26,,13,4,7,1167269.704,1854470.742,41.75622716,-87.66256485,"(41.7562271604901, -87.66256485279041)"
SR19-01896232,Sewer Cleaning Inspection Request,CHECKFOR,Health,DWM - Department of Water Management,Completed,Internet,7/9/19 10:00,11/20/19 22:41,11/20/19 22:41,9319 S UNION AVE,,,60620,9319,S,UNION,AVE,FALSE,FALSE,,,73,21,,O044,2,22,2223,5,,10,3,7,1173307.88,1843054.343,41.72476773,-87.64077294,"(41.724767730652, -87.64077293976848)"
SR19-01907148,Vicious Animal Complaint,EAF,Health,Animal Care and Control,Completed,Phone Call,7/10/19 9:36,7/11/19 21:13,7/11/19 21:13,317 S SACRAMENTO BLVD,,,60612,317,S,SACRAMENTO,BLVD,FALSE,FALSE,,,27,27,,I023,2,11,1124,14,,9,4,7,1156459.561,1898434.879,41.87709491,-87.7009964,"(41.87709490716091, -87.70099640264017)"
SR19-01920399,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/11/19 12:14,7/11/19 12:17,7/11/19 12:17,418 E 107TH ST,,,60628,418,E,107TH,ST,FALSE,FALSE,,,49,9,,R047,1,5,512,22,,12,5,7,1181031.734,1834174.382,41.70022597,-87.61275285,"(41.700225968871344, -87.61275285367152)"
SR19-01966030,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/17/19 10:17,7/17/19 10:19,7/17/19 10:19,918 E 47TH ST,,,60653,918,E,47TH,ST,FALSE,FALSE,,,39,4,,S032,2,2,222,15,,10,4,7,1183374.623,1874055.526,41.80960983,-87.60293444,"(41.809609834263334, -87.6029344440174)"
SR19-01966129,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/17/19 10:26,7/17/19 10:28,7/17/19 10:28,53 E RANDOLPH ST,,,60601,53,E,RANDOLPH,ST,FALSE,FALSE,,,32,42,,Q022,1,1,111,10,,10,4,7,1176884.366,1901284.874,41.88447804,-87.62591675,"(41.884478042581996, -87.62591674916013)"
SR19-01967368,Restaurant Complaint,HFB,Health,Health,Completed,City Department,7/17/19 12:10,7/17/19 12:17,7/17/19 12:17,1730 W FULLERTON AVE,,,60614,1730,W,FULLERTON,AVE,FALSE,FALSE,,,7,32,,L016,3,19,1931,24,,12,4,7,1164004.99,1916447.23,41.92636623,-87.67278256,"(41.92636623311954, -87.67278255456445)"
SR19-01967857,Restaurant Complaint,HFB,Health,Health,Completed,City Department,7/17/19 12:50,7/17/19 12:54,7/17/19 12:54,1516 N WELLS ST,,,60610,1516,N,WELLS,ST,FALSE,FALSE,,,8,27,,P019,2,18,1821,46,,12,4,7,1174333.898,1910444.34,41.90966942,-87.63500854,"(41.90966942346737, -87.63500853691922)"
SR19-01968177,Restaurant Complaint,HFB,Health,Health,Completed,City Department,7/17/19 13:17,7/17/19 13:20,7/17/19 13:20,2144 W DIVISION ST,,,60622,2144,W,DIVISION,ST,FALSE,FALSE,,,24,2,,K019,2,14,1424,16,,13,4,7,1161697.642,1908042.738,41.90335217,-87.68149569,"(41.903352167066835, -87.68149568887372)"
SR19-01978005,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/18/19 13:18,7/18/19 13:22,7/18/19 13:22,222 S CANAL ST,,,60606,222,S,CANAL,ST,FALSE,FALSE,,,28,42,,O023,2,1,121,16,,13,5,7,1173170.429,1899123.972,41.87863159,-87.63961883,"(41.87863159248082, -87.63961882719191)"
SR19-01978436,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/18/19 13:43,7/18/19 13:56,7/18/19 13:56,3400 N CICERO AVE,,,60641,3400,N,CICERO,AVE,FALSE,FALSE,,,15,31,,D014,3,16,1634,34,,13,5,7,1143702.145,1922222.638,41.94261946,-87.74724158,"(41.94261945838357, -87.7472415817042)"
SR19-01979568,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/18/19 14:56,7/18/19 15:08,7/18/19 15:08,2216 S MICHIGAN AVE,,,60616,2216,S,MICHIGAN,AVE,FALSE,FALSE,,,33,3,,Q027,3,1,131,17,,14,5,7,1177433.142,1889602.737,41.85240911,-87.62425594,"(41.85240911263331, -87.62425594189133)"
SR19-02005849,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,7/22/19 11:11,7/22/19 11:13,7/22/19 11:13,1570 N DAMEN AVE,,,60622,1570,N,DAMEN,AVE,FALSE,FALSE,,,24,1,,K019,2,14,1424,8,,11,2,7,1162717.865,1910579.237,41.91029117,-87.67767698,"(41.91029117273632, -87.67767697827874)"
SR19-02006448,Restaurant Complaint,HFB,Health,Health,Completed,City Department,7/22/19 11:55,7/22/19 12:09,7/22/19 12:09,85 E WACKER DR,,,60601,85,E,WACKER,DR,FALSE,FALSE,,,32,42,,Q022,1,1,111,42,,11,2,7,1177109.741,1902563.17,41.88798066,-87.62505041,"(41.887980654822805, -87.62505040696185)"
SR19-02007991,Restaurant Complaint,HFB,Health,Health,Completed,City Department,7/22/19 13:46,7/22/19 13:55,7/22/19 13:55,6040 W DIVERSEY AVE,,,60639,6040,W,DIVERSEY,AVE,FALSE,FALSE,,,19,30,,A015,1,25,2511,13,,13,2,7,1135424.644,1918061.338,41.93135167,-87.77776486,"(41.93135166825615, -87.77776486300107)"
SR19-02039195,Restaurant Complaint,HFB,Health,Health,Completed,City Department,7/25/19 15:05,7/25/19 15:08,7/25/19 15:08,6160 N LINCOLN AVE,,,60659,6160,N,LINCOLN,AVE,FALSE,FALSE,,,13,50,,H007,1,17,1711,25,,15,5,7,1152724.074,1940959.4,41.99386026,-87.71358337,"(41.993860260054596, -87.71358337415776)"
SR19-02039457,Restaurant Complaint,HFB,Health,Health,Completed,City Department,7/25/19 15:28,7/25/19 15:35,7/25/19 15:35,1762 N CLYBOURN AVE,,,60614,1762,N,CLYBOURN,AVE,FALSE,FALSE,,,7,2,,N018,1,18,1813,20,,15,5,7,1169463.642,1911662.077,41.91311838,-87.65286417,"(41.9131183759718, -87.65286417220359)"
SR19-02045222,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/26/19 11:23,10/3/19 16:55,10/3/19 16:55,8256 S SOUTH SHORE DR,,,60617,8256,S,SOUTH SHORE,DR,FALSE,FALSE,,,46,7,,X041,2,4,424,22,,11,6,7,1198528.651,1850605.925,41.74489593,-87.54813845,"(41.74489592527797, -87.54813845063964)"
SR19-02045271,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/26/19 11:29,10/7/19 16:00,10/7/19 16:00,10712 S EWING AVE,,,60617,10712,S,EWING,AVE,FALSE,FALSE,,,52,10,,Y048,3,4,432,11,,11,6,7,1202120.677,1834448.554,41.70046819,-87.53552574,"(41.70046818895192, -87.53552573570275)"
SR19-02045317,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/26/19 11:33,10/7/19 16:00,10/7/19 16:00,10525 S EWING AVE,,,60617,10525,S,EWING,AVE,FALSE,FALSE,,,52,10,,Y047,3,4,432,28,,11,6,7,1202183.469,1835663.02,41.70379919,-87.53525461,"(41.70379919166007, -87.5352546120237)"
SR19-02066377,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/29/19 15:52,7/29/19 15:54,7/29/19 15:54,1401 S MICHIGAN AVE,,,60605,1401,S,MICHIGAN,AVE,FALSE,FALSE,,,33,3,,Q025,3,1,132,34,,15,2,7,1177534.896,1893815.471,41.86396683,-87.6237547,"(41.8639668253085, -87.62375469626853)"
SR19-02094702,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/1/19 11:49,8/1/19 11:51,8/1/19 11:51,3529 W FULLERTON AVE,,,60647,3529,W,FULLERTON,AVE,FALSE,FALSE,,,22,35,,H017,1,14,1413,7,,11,5,8,1152532.872,1915636.006,41.92437494,-87.7149589,"(41.92437493795435, -87.71495889645271)"
SR19-02094816,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/1/19 11:57,8/1/19 11:59,8/1/19 11:59,143 W DIVISION ST,,,60610,143,W,DIVISION,ST,FALSE,FALSE,,,8,27,,P020,2,18,1824,38,,11,5,8,1174865.53,1908329.862,41.9038553,-87.63311897,"(41.903855301320974, -87.63311897414818)"
SR19-02107124,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/2/19 15:26,8/2/19 19:30,8/2/19 15:27,11601 W TOUHY AVE,,,0,11601,W,TOUHY,AVE,FALSE,FALSE,,,,,,,,,,,,15,6,8,1098178.281,1946011.777,42.00863256,-87.91414044,"(42.00863255888063, -87.91414043717545)"
SR19-02106940,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/2/19 15:06,8/2/19 15:08,8/2/19 15:08,3206 W 111TH ST,,,60655,3206,W,111TH,ST,FALSE,FALSE,,,74,19,,H048,1,22,2211,54,,15,6,8,1156871.343,1830931.82,41.69184844,-87.70130631,"(41.69184843462387, -87.70130630714469)"
SR19-02107042,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/2/19 15:17,8/2/19 15:18,8/2/19 15:18,131 N CLINTON ST,,,60661,131,N,CLINTON,ST,FALSE,FALSE,,,28,42,,O022,2,1,121,41,,15,6,8,1172713.856,1901140.556,41.88417534,-87.64123554,"(41.88417534436705, -87.64123554292752)"
SR19-02107291,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/2/19 15:41,8/2/19 15:42,8/2/19 15:42,2840 W NORTH AVE,,,60647,2840,W,NORTH,AVE,FALSE,FALSE,,,24,1,,I018,2,14,1421,30,,15,6,8,1156990.942,1910632.856,41.91055651,-87.69871405,"(41.910556508630876, -87.69871405346888)"
SR19-02125904,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/5/19 12:29,8/5/19 12:32,8/5/19 12:32,3525 W FULLERTON AVE,,,60647,3525,W,FULLERTON,AVE,FALSE,FALSE,,,22,35,,H017,1,14,1413,7,,12,2,8,1152563.393,1915652.192,41.92441875,-87.71484632,"(41.92441874981734, -87.71484632174007)"
SR19-02147550,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/7/19 16:55,8/7/19 16:57,8/7/19 16:57,7 W DIVISION ST,,,60610,7,W,DIVISION,ST,FALSE,FALSE,,,8,2,,P020,2,18,1824,29,,16,4,8,1175977.9,1908361.38,41.9039168,-87.62903207,"(41.9039167998143, -87.62903206534399)"
SR19-02154644,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,8/8/19 13:19,8/8/19 13:27,8/8/19 13:27,1709 W CHICAGO AVE,,,60622,1709,W,CHICAGO,AVE,FALSE,FALSE,,,24,1,,L021,1,12,1215,4,,13,5,8,1164805.442,1905306.29,41.89577779,-87.6701578,"(41.89577778631865, -87.6701577998136)"
SR19-02163025,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,8/9/19 12:05,8/9/19 12:10,8/9/19 12:10,1112 N STATE ST,,,60610,1112,N,STATE,ST,FALSE,FALSE,,,8,2,,P020,2,18,1824,42,,12,6,8,1176015.142,1907790.137,41.90234844,-87.6289125,"(41.90234844161953, -87.62891249647664)"
SR19-02164751,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/9/19 14:41,8/9/19 14:43,8/9/19 14:43,108 N STATE ST,,,60602,108,N,STATE,ST,FALSE,FALSE,,,32,42,,P022,1,1,111,10,,14,6,8,1176247.097,1900935.454,41.88353361,-87.6282674,"(41.88353360671913, -87.62826739953748)"
SR19-02164855,Consumer Retail Business Complaint,CST,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/9/19 14:52,9/5/19 16:35,9/5/19 16:35,108 N STATE ST,,,60602,108,N,STATE,ST,FALSE,FALSE,,,32,42,,P022,1,1,111,10,,14,6,8,1176247.097,1900935.454,41.88353361,-87.6282674,"(41.88353360671913, -87.62826739953748)"
SR19-02165514,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/9/19 15:57,8/9/19 15:59,8/9/19 15:59,1000 W RANDOLPH ST,,,60607,1000,W,RANDOLPH,ST,FALSE,FALSE,,,28,27,,N022,2,12,1224,16,,15,6,8,1169689.832,1901279.295,41.88462244,-87.65233599,"(41.88462243927018, -87.65233598497178)"
SR19-02242687,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/19/19 10:29,9/5/19 16:41,9/5/19 16:41,1606 W NORTH AVE,,,60622,1606,W,NORTH,AVE,FALSE,FALSE,,,24,32,,L018,3,14,1433,35,,10,2,8,1165336.879,1910790.908,41.91081667,-87.66804973,"(41.910816673488966, -87.6680497310303)"
SR19-02258535,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/20/19 17:16,8/20/19 17:17,8/20/19 17:17,1600 W 13TH ST,,,60608,1600,W,13TH,ST,FALSE,FALSE,,,28,28,,L025,3,12,1233,5,,17,3,8,1165776.541,1894234.547,41.86537539,-87.66690694,"(41.865375386216364, -87.6669069417294)"
SR19-02267511,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/21/19 15:07,8/21/19 15:09,8/21/19 15:09,1948 E 79TH ST,,,60649,1948,E,79TH,ST,FALSE,FALSE,,,43,8,,U040,1,4,414,13,,15,4,8,1190772.543,1853045.747,41.75178171,-87.57647879,"(41.751781711403986, -87.57647879316609)"
SR19-02276314,Building Violation,BBA,Health,DOB - Buildings,Completed,Phone Call,8/22/19 12:40,9/11/19 9:01,9/11/19 9:01,8534 S STONY ISLAND AVE,,,60617,8534,S,STONY ISLAND,AVE,TRUE,FALSE,,SR19-02267417,45,8,,T042,1,4,412,52,,12,5,8,1188225.692,1848556.402,41.73952361,-87.58595457,"(41.73952361382037, -87.58595457197627)"
SR19-02276360,Commercial Fire Safety Inspection Request,FAC,Health,Fire,Open,Phone Call,8/22/19 12:44,8/22/19 12:44,,8534 S STONY ISLAND AVE,,,60617,8534,S,STONY ISLAND,AVE,FALSE,FALSE,,,45,8,,T042,1,4,412,52,,12,5,8,1188225.692,1848556.402,41.73952361,-87.58595457,"(41.73952361382037, -87.58595457197627)"
SR19-02286048,Restaurant Complaint,HFB,Health,Health,Completed,City Department,8/23/19 12:21,8/23/19 12:28,8/23/19 12:28,820 W LAKE ST,,,60607,820,W,LAKE,ST,FALSE,FALSE,,,28,27,,N022,1,12,1214,45,,12,6,8,1170747.287,1901753.495,41.88590058,-87.64843899,"(41.88590058281263, -87.64843899074458)"
SR19-02311151,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/26/19 15:26,12/18/19 21:30,12/18/19 21:30,1618 W DEVON AVE,,,60660,1618,W,DEVON,AVE,FALSE,FALSE,,,1,40,,L006,3,24,2432,37,,15,2,8,1164150.256,1942650.8,41.9982669,-87.67150507,"(41.998266900082946, -87.67150507078587)"
SR19-02321190,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/27/19 16:10,8/27/19 16:11,8/27/19 16:11,2127 S CHINA PL,,,60616,2127,S,CHINA,PL,FALSE,FALSE,,,34,25,,P026,1,9,914,14,,16,3,8,1174979.64,1890315.988,41.85442157,-87.63323958,"(41.85442156883383, -87.63323958343013)"
SR19-02321247,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/27/19 16:14,8/27/19 17:09,8/27/19 17:09,2138 S ARCHER AVE,,,60616,2138,S,ARCHER,AVE,FALSE,FALSE,,,34,25,,P026,1,9,914,14,,16,3,8,1174856.477,1890128.616,41.85391016,-87.63369724,"(41.85391016200446, -87.63369723998773)"
SR19-02321293,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/27/19 16:18,8/27/19 16:19,8/27/19 16:19,2172 S ARCHER AVE,,,60616,2172,S,ARCHER,AVE,FALSE,FALSE,,,34,25,,P026,1,9,914,14,,16,3,8,1174506.605,1889899.634,41.85328963,-87.63498823,"(41.85328963159654, -87.63498822748153)"
SR19-02321337,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/27/19 16:22,8/27/19 16:27,8/27/19 16:27,232 W 22ND PL,,,60616,232,W,22ND,PL,FALSE,FALSE,,,34,25,,P027,1,9,914,6,,16,3,8,1174596.419,1889492.93,41.8521716,-87.63467073,"(41.852171601706885, -87.63467072732288)"
SR19-02330778,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/28/19 14:49,8/28/19 14:50,8/28/19 14:50,35 E 59TH ST,,,60637,35,E,59TH,ST,FALSE,FALSE,,,40,20,,Q036,3,2,232,12,,14,4,8,1177671.04,1865902.524,41.78736834,-87.6241008,"(41.78736833673371, -87.62410080057404)"
SR19-02331179,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/28/19 15:24,10/2/19 8:38,10/2/19 8:38,8907 S COTTAGE GROVE AVE,,,60619,8907,S,COTTAGE GROVE,AVE,FALSE,FALSE,,,44,8,,S043,3,6,633,25,,15,4,8,1183209.013,1846047.439,41.73275682,-87.60441252,"(41.73275682306146, -87.60441252401004)"
SR19-02348773,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/30/19 12:13,12/19/19 9:32,12/19/19 9:32,1101 W RANDOLPH ST,,,60607,1101,W,RANDOLPH,ST,FALSE,FALSE,,,28,27,,N022,2,12,1224,16,,12,6,8,1169036.23,1901043.764,41.88399033,-87.65474293,"(41.883990334415586, -87.6547429294916)"
SR19-02394539,Restaurant Complaint,HFB,Health,Health,Completed,City Department,9/5/19 10:12,3/25/20 9:24,3/25/20 9:24,1962 N HALSTED ST,,,60614,1962,N,HALSTED,ST,FALSE,FALSE,,,7,43,,N018,1,18,1813,5,,10,5,9,1170561.54,1913368.536,41.91777702,-87.64878073,"(41.91777701744932, -87.64878073328366)"
SR19-02429307,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,9/9/19 11:45,4/7/22 10:58,4/7/22 10:58,11601 W TOUHY AVE,,,0,11601,W,TOUHY,AVE,FALSE,FALSE,,,,,,,,,,,,11,2,9,1098178.281,1946011.777,42.00863256,-87.91414044,"(42.00863255888063, -87.91414043717545)"
SR19-02440541,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,9/10/19 12:40,8/2/21 13:04,8/2/21 13:04,1922 S STATE ST,,,60616,1922,S,STATE,ST,FALSE,FALSE,,,33,3,,P026,3,1,131,3,,12,3,9,1176620.362,1890869.298,41.85590302,-87.62720082,"(41.85590302448068, -87.62720082312586)"
SR19-02450239,Restaurant Complaint,HFB,Health,Health,Completed,E-Mail,9/11/19 13:19,3/25/20 9:24,3/25/20 9:24,1962 N HALSTED ST,,,60614,1962,N,HALSTED,ST,TRUE,FALSE,,SR19-02394539,7,43,,N018,1,18,1813,5,,13,4,9,1170561.54,1913368.536,41.91777702,-87.64878073,"(41.91777701744932, -87.64878073328366)"
SR19-02452421,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,City Department,9/11/19 16:06,10/2/19 8:42,10/2/19 8:42,1301 S WESTERN AVE,,,60608,1301,S,WESTERN,AVE,FALSE,FALSE,,,28,28,,K025,3,12,1233,19,,16,4,9,1160672.36,1893887.838,41.86453118,-87.68565418,"(41.86453118310937, -87.68565418169052)"
